Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,6136,1,DIGJAMLMTD,DIGJAMLMTD-BE,BE,0.01,,Digjam Limited,BE,18-OCT-2021,10,1,INE731U01028,10
NSE,16687,1,DIGISPICE,DIGISPICE-BE,BE,0.01,,DiGiSPICE Technologies Limited,BE,27-MAY-2008,3,1,INE927C01020,3
NSE,21256,1,DIGIDRIVE,DIGIDRIVE-BE,BE,0.01,,Digidrive Distributors Limited,BE,10-JAN-2024,10,1,INE0PSC01024,10
NSE,6122,1,DICIND,DICIND-BE,BE,0.05,,DIC India Limited,BE,30-AUG-1995,10,1,INE303A01010,10
NSE,21840,1,DIAMONDYD,DIAMONDYD-EQ,EQ,0.05,,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5
NSE,18644,1,DIAMINESQ,DIAMINESQ-EQ,EQ,0.05,,Diamines & Chemicals Limited,EQ,25-SEP-2023,10,1,INE591D01014,10
NSE,18545,1,DIACABS,DIACABS-BE,BE,0.05,,Diamond Power Infrastructure Limited,BE,15-SEP-2023,10,1,INE989C01020,10
NSE,22233,1,DHUNINV,DHUNINV-EQ,EQ,0.05,,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
NSE,6860,1,DHRUV,DHRUV-BE,BE,0.01,,Dhruv Consultancy Services Limited,BE,25-NOV-2021,10,1,INE506Z01015,10
NSE,13001,1,DHARMAJ,DHARMAJ-EQ,EQ,0.05,,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,INE00OQ01016,10
NSE,24409,1,DHANUKA,DHANUKA-EQ,EQ,0.05,,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
NSE,15384,1,DHANI,DHANI-EQ,EQ,0.01,,Dhani Services Limited,EQ,02-APR-2008,2,1,INE274G01010,2
NSE,11359,1,DHANBANK,DHANBANK-EQ,EQ,0.01,,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10
NSE,857,1,DHAMPURSUG,DHAMPURSUG-EQ,EQ,0.01,,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
NSE,10358,1,DGCONTENT,DGCONTENT-BE,BE,0.01,,Digicontent Limited,BE,18-JUN-2019,2,1,INE03JI01017,2
NSE,5373,1,DEVYANI,DEVYANI-EQ,EQ,0.01,,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
NSE,8146,1,DEVIT,DEVIT-EQ,EQ,0.01,,Dev Information Technology Limited,EQ,15-FEB-2022,5,1,INE060X01026,5
NSE,4279,1,DENORA,DENORA-EQ,EQ,0.05,,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
NSE,17722,1,DEN,DEN-EQ,EQ,0.01,,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
NSE,1214,1,DELTAMAGNT,DELTAMAGNT-EQ,EQ,0.01,,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
NSE,15044,1,DELTACORP,DELTACORP-EQ,EQ,0.01,,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
NSE,24395,1,DELPHIFX,DELPHIFX-BE,BE,0.05,,DELPHI WORLD MONEY LIMITED,BE,28-JUN-2011,10,1,INE726L01019,10
NSE,9599,1,DELHIVERY,DELHIVERY-EQ,EQ,0.05,,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
NSE,3292,1,DEEPINDS,DEEPINDS-EQ,EQ,0.05,,Deep Industries Limited,EQ,27-APR-2021,5,1,INE0FHS01024,5
NSE,18248,1,DEEPENR,DEEPENR-BE,BE,0.01,,DEEP ENERGY RESOURCES LIMITED,BE,09-MAR-2010,10,1,INE677H01012,10
NSE,19943,1,DEEPAKNTR,DEEPAKNTR-EQ,EQ,0.05,,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2
NSE,827,1,DEEPAKFERT,DEEPAKFERT-EQ,EQ,0.05,,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
NSE,24154,1,DEEDEV,DEEDEV-EQ,EQ,0.05,,DEE Development Engineers Limited,EQ,26-JUN-2024,10,1,INE841L01016,10
NSE,14838,1,DECCANCE,DECCANCE-EQ,EQ,0.05,,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5
NSE,11898,1,DCXINDIA,DCXINDIA-BE,BE,0.05,,DCX Systems Limited,BE,11-NOV-2022,2,1,INE0KL801015,2
NSE,817,1,DCW,DCW-EQ,EQ,0.01,,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2
NSE,7325,1,DCMSRIND,DCMSRIND-EQ,EQ,0.01,,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2
NSE,811,1,DCMSHRIRAM,DCMSHRIRAM-EQ,EQ,0.05,,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2
NSE,11041,1,DCMNVL,DCMNVL-BE,BE,0.01,,DCM Nouvelle Limited,BE,16-JUL-2019,10,1,INE08KP01019,10
NSE,8704,1,DCMFINSERV,DCMFINSERV-BE,BE,0.01,,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10
NSE,7323,1,DCM,DCM-BE,BE,0.01,,DCM  Limited,BE,29-MAR-1995,10,1,INE498A01018,10
NSE,11568,1,DCI,DCI-BE,BE,0.05,,Dc Infotech And Communication Limited,BE,19-OCT-2022,10,1,INE0A1101019,10
NSE,13725,1,DCBBANK,DCBBANK-EQ,EQ,0.01,,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10
NSE,21704,1,DCAL,DCAL-EQ,EQ,0.01,,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2,1,INE385W01011,2
